x,y,n,size
55,60,16,1.6
55,80,12,1.2
55,100,22,2.2
55,120,32,3.2
55,140,26,2.6
55,160,27,2.7
55,180,23,2.3
55,200,9,0.9
55,220,10,1
55,240,2,0.2
55,260,3,0.3
55,280,2,0.2
55,300,1,0.1
55,320,1,0.1
55,340,1,0.1
55,360,21,2.1
55,380,23,2.3
55,400,22,2.2
65,60,39,3.9
65,80,36,3.6
65,100,21,2.1
65,120,17,1.7
65,140,17,1.7
65,160,14,1.4
65,180,15,1.5
65,200,4,0.4
65,220,8,0.8
65,240,2,0.2
65,260,3,0.3
65,280,3,0.3
65,300,21,2.1
65,320,19,1.9
65,340,27,2.7
65,360,23,2.3
65,380,31,3.1
65,400,24,2.4
75,60,18,1.8
75,80,20,2
75,100,13,1.3
75,120,12,1.2
75,140,13,1.3
75,160,9,0.9
75,180,10,1
75,200,5,0.5
75,220,13,1.3
75,240,13,1.3
75,260,12,1.2
75,280,10,1
75,300,22,2.2
75,320,24,2.4
75,340,24,2.4
75,360,26,2.6
75,380,20,2
75,400,10,1
85,60,16,1.6
85,80,9,0.9
85,100,6,0.6
85,120,15,1.5
85,140,9,0.9
85,160,12,1.2
85,180,9,0.9
85,200,6,0.6
85,220,12,1.2
85,240,20,2
85,260,14,1.4
85,280,13,1.3
85,300,17,1.7
85,320,5,0.5
85,340,18,1.8
85,360,8,0.8
85,380,6,0.6
85,400,3,0.3
95,60,1,0.1
95,80,3,0.3
95,100,15,1.5
95,120,9,0.9
95,140,4,0.4
95,160,14,1.4
95,180,13,1.3
95,200,14,1.4
95,220,10,1
95,240,10,1
95,260,9,0.9
95,280,10,1
95,300,11,1.1
95,320,3,0.3
95,340,6,0.6
95,360,3,0.3
95,380,3,0.3
95,400,10,1
105,60,4,0.4
105,80,12,1.2
105,100,21,2.1
105,120,14,1.4
105,140,8,0.8
105,160,15,1.5
105,180,8,0.8
105,200,13,1.3
105,220,13,1.3
105,240,4,0.4
105,260,2,0.2
105,280,4,0.4
105,300,2,0.2
105,320,3,0.3
105,340,14,1.4
105,360,5,0.5
105,380,2,0.2
105,400,7,0.7
115,60,9,0.9
115,80,5,0.5
115,100,13,1.3
115,120,12,1.2
115,140,7,0.7
115,160,9,0.9
115,180,6,0.6
115,200,4,0.4
115,220,2,0.2
115,240,4,0.4
115,260,1,0.1
115,280,16,1.6
115,300,6,0.6
115,320,7,0.7
115,340,3,0.3
115,360,6,0.6
115,380,8,0.8
115,400,8,0.8
125,60,7,0.7
125,80,7,0.7
125,100,6,0.6
125,120,1,0.1
125,140,4,0.4
125,160,7,0.7
125,180,2,0.2
125,220,14,1.4
125,240,3,0.3
125,260,1,0.1
125,280,8,0.8
125,300,6,0.6
125,320,3,0.3
125,340,9,0.9
125,360,5,0.5
125,380,9,0.9
125,400,7,0.7
135,60,4,0.4
135,80,3,0.3
135,100,1,0.1
135,120,3,0.3
135,140,2,0.2
135,160,8,0.8
135,200,2,0.2
135,220,6,0.6
135,240,5,0.5
135,260,4,0.4
135,280,3,0.3
135,300,9,0.9
135,320,4,0.4
135,340,2,0.2
135,360,3,0.3
135,380,5,0.5
135,400,1,0.1
145,60,2,0.2
145,80,2,0.2
145,100,9,0.9
145,140,2,0.2
145,180,7,0.7
145,200,3,0.3
145,220,3,0.3
145,240,4,0.4
145,260,4,0.4
145,280,2,0.2
145,300,4,0.4
145,320,1,0.1
145,340,2,0.2
145,360,3,0.3
145,400,6,0.6
155,60,1,0.1
155,80,3,0.3
155,120,1,0.1
155,140,5,0.5
155,160,1,0.1
155,240,3,0.3
155,260,1,0.1
155,280,1,0.1
155,300,1,0.1
155,320,1,0.1
155,340,7,0.7
165,60,2,0.2
165,80,3,0.3
165,100,2,0.2
165,160,2,0.2
165,180,1,0.1
165,220,3,0.3
165,240,1,0.1
165,280,2,0.2
165,380,1,0.1
165,400,1,0.1
175,60,2,0.2
175,80,1,0.1
175,100,4,0.4
175,160,2,0.2
175,200,1,0.1
175,220,3,0.3
175,280,1,0.1
175,320,1,0.1
175,360,3,0.3
175,380,2,0.2
185,60,2,0.2
185,80,1,0.1
185,100,1,0.1
185,160,6,0.6
185,180,1,0.1
185,240,2,0.2
185,340,3,0.3
185,380,1,0.1
185,400,2,0.2
195,60,1,0.1
195,100,10,1
195,120,2,0.2
195,160,3,0.3
195,180,4,0.4
195,200,1,0.1
195,220,2,0.2
195,240,4,0.4
195,260,7,0.7
195,280,5,0.5
195,300,6,0.6
195,320,6,0.6
195,340,2,0.2
195,360,3,0.3
195,380,5,0.5
195,400,24,2.4
